
 num     #instances         #bytes  class name
 189:            19            456  com.gemstone.org.jgroups.ViewId
 190:            14            448  com.gemstone.org.jgroups.protocols.pbcast.Digest$Entry
 191:            28            448  java.util.Hashtable$KeySet
 192:             7            448  com.gemstone.gemfire.distributed.internal.membership.InternalDistributedMember
 193:            55            440  com.gemstone.gemfire.internal.cache.LocalRegionDataView
 194:             6            440  [D
 195:            27            432  java.util.HashMap$KeySet
 196:            18            432  java.util.LinkedList
 197:             9            432  java.util.jar.JarFile
 198:            27            432  com.gemstone.org.jgroups.oswego.concurrent.ConcurrentReaderHashMap$EntrySet
 199:             1            424  com.gemstone.gemfire.internal.cache.tier.sockets.CacheServerStats
 200:             5            400  [Ljava.nio.ByteBuffer;
 201:             5            400  [Ljava.util.WeakHashMap$Entry;
 202:            10            400  java.io.BufferedWriter
 203:            16            384  java.io.ExpiringCache$Entry
 204:            16            384  java.util.regex.Pattern$GroupTail
 205:            23            368  com.gemstone.gemfire.cache.RegionShortcut
 206:            23            368  java.security.Provider$UString
 207:            15            360  java.util.Date
 208:             2            360  [Ljava.lang.reflect.Field;
 209:             5            360  java.util.concurrent.ThreadPoolExecutor
 210:            22            352  java.util.Collections$UnmodifiableSet
 211:             1            344  com.gemstone.gemfire.internal.cache.LocalRegion
 212:             7            336  sun.management.MemoryPoolImpl
 213:            10            320  com.gemstone.org.jgroups.util.BoundedList
 214:             3            320  [Ljava.math.BigInteger;
 215:            10            320  java.util.Collections$SynchronizedMap
 216:             1            312  com.gemstone.org.jgroups.protocols.UDP
 217:            13            312  java.util.concurrent.Semaphore$NonfairSync
 218:            13            312  java.lang.ref.ReferenceQueue
 219:            13            312  java.net.InterfaceAddress
 220:            19            304  java.util.concurrent.ConcurrentLinkedQueue$Node
 221:             9            288  sun.security.jca.ProviderConfig
 222:             6            288  com.gemstone.gemfire.distributed.internal.OverflowQueueWithDMStats
 223:             9            288  java.util.zip.Inflater
 224:            12            288  java.nio.DirectByteBuffer$Deallocator
 225:            18            288  java.text.DateFormat$Field
 226:             4            288  com.gemstone.gemfire.internal.cache.CacheDistributionAdvisor
 227:             4            288  com.gemstone.gemfire.internal.cache.persistence.PersistenceAdvisorImpl
 228:             7            280  java.io.ObjectStreamClass$FieldReflectorKey
 229:             7            280  sun.management.MemoryPoolImpl$CollectionSensor
 230:             7            280  sun.management.MemoryPoolImpl$PoolSensor
 231:             7            280  java.util.concurrent.LinkedBlockingQueue
 232:             1            280  com.gemstone.gemfire.distributed.internal.RuntimeDistributionConfigImpl
 233:             7            280  java.io.ObjectStreamClass$FieldReflector
 234:             7            280  java.net.NetworkInterface
 235:            17            272  java.util.regex.Pattern$Single
 236:             1            272  com.gemstone.gemfire.distributed.internal.DistributionConfigImpl
 237:             8            256  java.util.concurrent.ThreadPoolExecutor$Worker
 238:            16            256  java.util.regex.Pattern$GroupHead
 239:            16            256  java.util.concurrent.LinkedBlockingQueue$Node
 240:            16            256  java.util.regex.Pattern$CharPropertyNames$4
 241:             1            256  com.gemstone.gemfire.internal.cache.GemFireCacheImpl
 242:             1            248  com.gemstone.gemfire.distributed.internal.DistributionManager
 243:            31            248  com.gemstone.org.jgroups.oswego.concurrent.ConcurrentReaderHashMap$BarrierLock
 244:            15            240  com.gemstone.org.jgroups.protocols.VIEW_SYNC$ViewSyncHeader
 245:             5            240  sun.nio.ch.SocketAdaptor
 246:             4            240  [Ljava.lang.ThreadGroup;
 247:             5            240  java.util.ResourceBundle$CacheKey
 248:             6            240  java.io.PrintWriter
 249:             1            240  com.gemstone.org.jgroups.protocols.pbcast.GMS
 250:             3            240  com.gemstone.gemfire.distributed.internal.SerialQueuedExecutorWithDMStats
 251:             5            240  java.util.WeakHashMap
 252:            10            240  java.io.OutputStreamWriter
 253:            15            240  java.util.HashMap$EntrySet
 254:             1            232  [Lcom.gemstone.gemfire.cache.Operation;
 255:             2            224  com.gemstone.gemfire.internal.cache.partitioned.RegionAdvisor
 256:             7            224  java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl
 257:            14            224  java.util.LinkedHashSet
 258:             9            224  [Ljava.net.InetAddress;
 259:             9            216  java.util.logging.Level
 260:             2            208  com.vmware.licensecheck.LicenseAttributes
 261:            13            208  java.util.regex.Pattern$Ctype
 262:            13            208  java.util.regex.Pattern$Dot
 263:            13            208  sun.reflect.BootstrapConstructorAccessorImpl
 264:             1            208  com.gemstone.org.jgroups.protocols.pbcast.NAKACK
 265:             1            200  com.gemstone.gemfire.distributed.internal.membership.jgroup.JGroupMembershipManager
 266:             5            200  java.util.ResourceBundle$BundleReference
 267:             2            200  [Ljava.lang.reflect.Method;
 268:             8            192  java.math.RoundingMode
 269:            12            192  com.gemstone.gemfire.internal.licensing.LogWriterAdapter$AdapterLogger
 270:            12            192  sun.misc.MetaIndex
 271:             8            192  java.net.InetSocketAddress
 272:             3            192  sun.net.www.protocol.jar.URLJarFile
 273:             6            192  java.util.concurrent.SynchronousQueue$TransferStack$SNode
 274:            12            192  com.gemstone.gemfire.internal.cache.tier.Version
 275:             1            184  com.gemstone.org.jgroups.protocols.FD_SOCK
 276:            11            176  java.text.NumberFormat$Field
 277:             1            176  com.gemstone.org.jgroups.protocols.FC
 278:             2            176  sun.nio.ch.ServerSocketChannelImpl
 279:             1            176  com.gemstone.org.jgroups.protocols.UNICAST
 280:            11            176  sun.reflect.generics.tree.ClassTypeSignature
 281:             7            176  [Ljava.lang.Boolean;
 282:            11            176  com.gemstone.gemfire.cache.ExpirationAttributes
 283:            11            176  java.util.regex.Pattern$Start
 284:             7            168  [Ljava.util.regex.Pattern$Node;
 285:             7            168  java.util.regex.Pattern$Branch
 286:             7            168  java.util.Timer
 287:             2            168  [Ljava.text.DateFormat$Field;
 288:             7            168  sun.util.LocaleServiceProviderPool
 289:             5            160  com.gemstone.gemfire.distributed.internal.PooledExecutorWithDMStats$2
 290:             5            160  java.util.ResourceBundle$LoaderReference
 291:             5            160  java.lang.ClassLoader$NativeLibrary
 292:             4            160  com.gemstone.gemfire.internal.LocalLogWriter
 293:            10            160  java.util.concurrent.ConcurrentLinkedQueue
 294:             2            160  [Lcom.gemstone.gemfire.internal.ObjIdConcurrentMap$Segment;
 295:            10            160  com.gemstone.org.jgroups.util.Promise
 296:             1            160  com.gemstone.org.jgroups.protocols.pbcast.STABLE
 297:             1            160  com.gemstone.gemfire.distributed.internal.locks.DLockGrantor$DLockGrantorThread
 298:            10            160  java.util.concurrent.ConcurrentHashMap$Values
 299:            10            160  java.util.Formatter$Flags
 300:             1            152  com.gemstone.org.jgroups.protocols.DirAck
 301:             7            152  [Ljava.net.InterfaceAddress;
 302:             1            152  com.gemstone.gemfire.distributed.internal.InternalDistributedSystem
 303:             6            144  java.lang.RuntimePermission
 304:             2            144  com.gemstone.gemfire.internal.cache.PartitionRegionConfig
 305:             1            144  com.gemstone.org.jgroups.protocols.FD
 306:             1            144  com.gemstone.org.jgroups.JChannel
 307:             9            144  java.util.zip.ZStreamRef
 308:             9            144  com.gemstone.gemfire.cache.client.ClientRegionShortcut
 309:             2            144  com.gemstone.org.jgroups.stack.NakReceiverWindow
 310:             9            144  java.util.concurrent.ConcurrentHashMap$EntrySet
 311:             1            136  com.gemstone.gemfire.internal.cache.tier.sockets.AcceptorImpl
 312:             1            136  com.gemstone.gemfire.cache.server.internal.LoadMonitor$PollingThread
 313:             1            136  com.gemstone.org.jgroups.protocols.FRAG2
 314:             4            128  java.security.ProtectionDomain
 315:             2            128  java.net.PlainDatagramSocketImpl
 316:             4            128  com.gemstone.org.jgroups.stack.Retransmitter
 317:             8            128  java.util.regex.Pattern$CharPropertyNames$3
 318:             4            128  java.io.PrintStream
 319:             8            128  com.gemstone.org.jgroups.oswego.concurrent.ConcurrentReaderHashMap$KeySet
 320:             8            128  java.util.concurrent.atomic.AtomicLong
 321:             2            128  com.gemstone.gemfire.internal.cache.PartitionedRegionDataStore
