
 num     #instances         #bytes  class name
 192:             9            288  com.gemstone.org.jgroups.View
 193:             4            288  com.gemstone.gemfire.internal.cache.CacheDistributionAdvisor
 194:             9            288  sun.security.jca.ProviderConfig
 195:             6            288  com.gemstone.gemfire.distributed.internal.OverflowQueueWithDMStats
 196:             7            280  sun.management.MemoryPoolImpl$CollectionSensor
 197:             7            280  sun.management.MemoryPoolImpl$PoolSensor
 198:             5            280  java.nio.DirectByteBuffer
 199:             7            280  java.util.concurrent.LinkedBlockingQueue
 200:             1            280  com.gemstone.gemfire.distributed.internal.RuntimeDistributionConfigImpl
 201:             7            280  java.net.NetworkInterface
 202:            17            272  java.util.regex.Pattern$Single
 203:             1            272  com.gemstone.gemfire.distributed.internal.DistributionConfigImpl
 204:             8            256  java.util.zip.Inflater
 205:            16            256  java.util.regex.Pattern$GroupHead
 206:            16            256  java.util.regex.Pattern$CharPropertyNames$4
 207:             1            256  com.gemstone.gemfire.internal.cache.GemFireCacheImpl
 208:            10            248  [Ljava.net.InetAddress;
 209:             1            248  com.gemstone.gemfire.distributed.internal.DistributionManager
 210:             6            240  java.io.ObjectStreamClass$FieldReflectorKey
 211:             6            240  sun.misc.Cleaner
 212:             5            240  sun.nio.ch.SocketAdaptor
 213:             3            240  com.gemstone.gemfire.distributed.internal.SerialQueuedExecutorWithDMStats
 214:             6            240  java.io.PrintWriter
 215:            10            240  com.gemstone.org.jgroups.ViewId
 216:             1            240  com.gemstone.org.jgroups.protocols.pbcast.GMS
 217:            10            240  java.io.OutputStreamWriter
 218:             5            240  java.util.WeakHashMap
 219:             6            240  java.io.ObjectStreamClass$FieldReflector
 220:             2            240  sun.nio.ch.WindowsSelectorImpl
 221:             1            232  [Lcom.gemstone.gemfire.cache.Operation;
 222:             7            224  com.gemstone.gemfire.internal.cache.UnsharedImageState
 223:            14            224  java.util.LinkedHashSet
 224:            14            224  com.gemstone.org.jgroups.oswego.concurrent.ConcurrentReaderHashMap$EntrySet
 225:            14            224  java.util.concurrent.LinkedBlockingQueue$Node
 226:            14            224  <compiledICHolderKlass>
 227:             2            224  com.gemstone.gemfire.internal.cache.partitioned.RegionAdvisor
 228:             9            216  java.util.logging.Level
 229:             9            216  java.net.InetSocketAddress
 230:             3            208  [Ljava.lang.ThreadGroup;
 231:            13            208  java.util.regex.Pattern$Ctype
 232:             1            208  com.gemstone.org.jgroups.protocols.pbcast.NAKACK
 233:            13            208  java.util.regex.Pattern$Dot
 234:             2            208  com.vmware.licensecheck.LicenseAttributes
 235:             1            200  com.gemstone.gemfire.distributed.internal.membership.jgroup.JGroupMembershipManager
 236:             3            192  sun.net.www.protocol.jar.URLJarFile
 237:             6            192  com.gemstone.gemfire.internal.cache.VMRegionMap
 238:            12            192  com.gemstone.gemfire.internal.licensing.LogWriterAdapter$AdapterLogger
 239:            12            192  sun.misc.MetaIndex
 240:            12            192  com.gemstone.gemfire.internal.cache.tier.Version
 241:             8            192  java.math.RoundingMode
 242:             1            184  com.gemstone.org.jgroups.protocols.FD_SOCK
 243:            11            176  java.text.NumberFormat$Field
 244:             1            176  com.gemstone.org.jgroups.protocols.UNICAST
 245:             7            176  [Ljava.lang.Boolean;
 246:            11            176  sun.reflect.generics.tree.ClassTypeSignature
 247:            11            176  java.util.regex.Pattern$Start
 248:             2            176  sun.nio.ch.ServerSocketChannelImpl
 249:             1            176  com.gemstone.org.jgroups.protocols.FC
 250:             2            168  [Ljava.text.DateFormat$Field;
 251:             7            168  java.util.regex.Pattern$Branch
 252:             7            168  [Ljava.util.regex.Pattern$Node;
 253:             7            168  com.gemstone.gemfire.internal.cache.RegionMap$Attributes
 254:             7            168  java.util.Timer
 255:             7            168  sun.util.LocaleServiceProviderPool
 256:             4            160  com.gemstone.gemfire.internal.cache.EventTracker
 257:            10            160  com.gemstone.org.jgroups.util.Promise
 258:             2            160  [Lcom.gemstone.gemfire.internal.ObjIdConcurrentMap$Segment;
 259:             1            160  com.gemstone.gemfire.distributed.internal.locks.DLockGrantor$DLockGrantorThread
 260:             5            160  java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl
 261:             5            160  com.gemstone.gemfire.distributed.internal.PooledExecutorWithDMStats$2
 262:             5            160  java.lang.ClassLoader$NativeLibrary
 263:            10            160  java.util.Formatter$Flags
 264:             4            160  com.gemstone.gemfire.internal.LocalLogWriter
 265:             1            160  com.gemstone.org.jgroups.protocols.pbcast.STABLE
 266:            10            160  java.util.concurrent.ConcurrentLinkedQueue
 267:             1            152  com.gemstone.gemfire.distributed.internal.InternalDistributedSystem
 268:             7            152  [Ljava.net.InterfaceAddress;
 269:             1            152  com.gemstone.org.jgroups.protocols.DirAck
 270:             9            144  java.nio.channels.spi.AbstractInterruptibleChannel$1
 271:             9            144  com.gemstone.gemfire.cache.client.ClientRegionShortcut
 272:             9            144  sun.reflect.BootstrapConstructorAccessorImpl
 273:             2            144  com.gemstone.gemfire.internal.cache.PartitionRegionConfig
 274:             9            144  java.util.concurrent.ConcurrentHashMap$Values
 275:             1            144  com.gemstone.org.jgroups.JChannel
 276:            18            144  com.gemstone.org.jgroups.oswego.concurrent.ConcurrentReaderHashMap$BarrierLock
 277:             2            144  com.gemstone.org.jgroups.stack.NakReceiverWindow
 278:             9            144  com.gemstone.gemfire.cache.ExpirationAttributes
 279:             6            144  java.lang.RuntimePermission
 280:             1            144  com.gemstone.org.jgroups.protocols.FD
 281:             1            136  com.gemstone.org.jgroups.protocols.FRAG2
 282:             1            136  com.gemstone.gemfire.cache.server.internal.LoadMonitor$PollingThread
 283:             1            136  com.gemstone.gemfire.internal.cache.tier.sockets.AcceptorImpl
 284:             4            128  java.io.PrintStream
 285:             4            128  java.security.CodeSource
 286:             4            128  java.io.FilePermission
 287:             8            128  com.gemstone.gemfire.internal.concurrent.RWL5$InnerLock5
 288:             8            128  java.util.concurrent.atomic.AtomicLong
 289:             8            128  java.util.Collections$UnmodifiableRandomAccessList
 290:             4            128  java.security.ProtectionDomain
 291:             8            128  java.util.regex.Pattern$CharPropertyNames$3
 292:             8            128  java.util.concurrent.ConcurrentHashMap$EntrySet
 293:             8            128  java.util.zip.ZStreamRef
 294:             8            128  com.gemstone.gemfire.internal.cache.LocalRegion$Stopper
 295:             4            128  com.gemstone.org.jgroups.stack.Retransmitter
 296:             2            128  java.net.PlainDatagramSocketImpl
 297:             2            128  com.gemstone.gemfire.internal.cache.PartitionedRegionDataStore
 298:             5            120  java.nio.DirectByteBuffer$Deallocator
 299:            15            120  java.lang.ref.ReferenceQueue$Lock
 300:             5            120  java.util.regex.Pattern$6
 301:             5            120  com.gemstone.java.util.concurrent.SynchronousQueueNoSpin
 302:             1            120  com.gemstone.org.jgroups.protocols.FD_SOCK$ClientConnectionHandler
 303:             5            120  com.gemstone.gemfire.internal.util.concurrent.CopyOnWriteHashMap
 304:             1            120  com.gemstone.org.jgroups.protocols.TCPGOSSIP
 305:             5            120  java.lang.OutOfMemoryError
 306:             5            120  java.security.Permissions
 307:             1            120  com.gemstone.gemfire.internal.cache.tier.sockets.ClientHealthMonitor$ClientHealthMonitorThread
 308:             1            112  com.gemstone.org.jgroups.protocols.VIEW_SYNC
